,Brand,Product,Price,Rating,Reviews
0,DRUNK ELEPHANT,Slaai™ Makeup-Melting Butter Cleanser,$34.00,46.4K loves,817 reviews
1,LANEIGE,Lip Sleeping Mask,$20.00,309.1K loves,8K reviews
2,MILK MAKEUP,Hydro Grip Primer,$30.00,66.3K loves,1K reviews
3,FENTY BEAUTY BY RIHANNA,Mattemoiselle Plush Matte Lipstick,$18.00,329.5K loves,2K reviews
4,DYSON,Airwrap™ Styler,$549.00,43.8K loves,456 reviews
5,TOM FORD,Soleil Blanc Shimmering Body Oil,$100.00,25.6K loves,124 reviews
6,TATCHA,The Deep Cleanse Exfoliating Cleanser,$38.00,91.2K loves,1K reviews
7,AMOREPACIFIC,TIME RESPONSE Eye Reserve Crème,$260.00,2.4K loves,13 reviews
8,PAT MCGRATH LABS,Mothership V Eyeshadow Palette - Bronze Seduction,$125.00,61.4K loves,384 reviews
9,ILIA,Limitless Lash Mascara,$28.00,44.4K loves,683 reviews
10,BRIOGEO,Be Gentle Be Kind™ Matcha + Apple Replenishing Superfood Shampoo,$28.00,12.6K loves,245 reviews
11,SEPHORA COLLECTION,PRO Flawless Light Powder Brush #50,$38.00,10.3K loves,53 reviews
12,OLEHENRIKSEN,Balancing Force™ Oil Control Toner,$29.00,67.3K loves,1K reviews
13,COOLA,Sunless Tan Firming Lotion,$46.00,3.4K loves,18 reviews
14,BEAUTYBLENDER,the original beautyblender®,$20.00,325.3K loves,8K reviews
15,HOURGLASS,Arch Brow Sculpting Pencil,$34.00,43.2K loves,878 reviews
16,AMIKA,High Tide Deep Waver,$120.00,11.4K loves,72 reviews
17,MAISON MARGIELA,REPLICA Under the Lemon Trees Eau de Toilette,$126.00,5.8K loves,214 reviews
18,YOUTH TO THE PEOPLE,Superberry Hydrate + Glow Dream Mask,$48.00,69.4K loves,697 reviews
19,SK-II,R.N.A. POWER Anti-Aging Eye Cream,$139.00,10.9K loves,155 reviews
20,KAJA,Beauty Bento Bouncy Shimmer Eyeshadow Trio,$21.00,110.3K loves,1K reviews
21,KOSAS,Tinted Face Oil Foundation,$42.00,37K loves,579 reviews
22,LIVING PROOF,Restore Dry Scalp Treatment,$32.00,15.1K loves,132 reviews
23,SEPHORA COLLECTION,PRO Angled Liner Brush #22,$16.00,11.4K loves,258 reviews
24,KORA ORGANICS,Noni Bright Vitamin C Serum,$68.00,13.2K loves,310 reviews
25,SOL DE JANEIRO,Glowmotions,$35.00,35.9K loves,319 reviews
26,URBAN DECAY,All Nighter Long-Lasting Makeup Setting Spray,$33.00,497K loves,9K reviews
27,BENEFIT COSMETICS,Gimme Brow+ Volumizing Eyebrow Gel,$24.00,168.2K loves,4K reviews
28,SLIP,Small Slipsilk™ Scrunchies,$39.00,27.9K loves,222 reviews
29,LANCÔME,Idôle Eau de Parfum,$96.00,6.1K loves,499 reviews
30,TATA HARPER,Resurfacing AHA + BHA Serum,$88.00,13.4K loves,144 reviews
31,ST. TROPEZ,Self Tan Purity Bronzing Water Face Mist,$30.00,9.5K loves,144 reviews
32,ARMANI BEAUTY,Power Fabric Longwear High Cover Foundation SPF 25,$64.00,63.5K loves,748 reviews
33,LANCÔME,SKIN FEELS GOOD Skin Nourishing Foundation,$35.00,23.8K loves,2K reviews
34,PEACE OUT,Acne Healing Dots,$19.00,97K loves,2K reviews
35,LA MER,The Concentrate,$370.00,20.2K loves,88 reviews
36,BUMBLE AND BUMBLE,Thickening Dryspun Volume Texture Spray,$31.00,38K loves,1K reviews
37,SEPHORA COLLECTION,GLOSS: Dual Boar Bristle Brush,$20.00,7K loves,82 reviews
38,ST. TROPEZ,Self Tan Extra Dark Bronzing Mousse,$45.00,3.6K loves,84 reviews
39,SUPERGOOP!,Shimmershade Illuminating Cream Eyeshadow SPF 30,$24.00,18.8K loves,235 reviews
40,TOO FACED,Better Than Sex Easy Glide Waterproof Liquid Eyeliner,$21.00,13.6K loves,283 reviews
41,MAKE UP FOR EVER,Artist Color Eye Shadow,$17.00,168.2K loves,730 reviews
42,GHD,"Platinum+ Professional Performance 1"" Styler",$249.00,9.6K loves,252 reviews
43,ACQUA DI PARMA,Rosa Nobile Hair Mist,$58.00,1.7K loves,5 reviews
44,DR. JART+,Ceramidin™ Liquid,$39.00,15.9K loves,475 reviews
45,THE ORDINARY,Hyaluronic Acid 2% + B5,$6.80,168.4K loves,1K reviews
46,YVES SAINT LAURENT,Rouge Pur Couture The Slim Matte Lipstick,$39.00,67.3K loves,166 reviews
47,BENEFIT COSMETICS,BADgal BANG! Volumizing Mascara,$25.00,51.2K loves,4K reviews
48,ALTERNA HAIRCARE,CAVIAR Anti-Aging® Rapid Blowout Balm,$30.00,1.7K loves,185 reviews
49,SEPHORA COLLECTION,Colorful Eyeshadow,$9.00,157.7K loves,973 reviews
50,HERBIVORE,Crushed Amethyst Exfoliating Body Polish,$44.00,6.5K loves,27 reviews
51,PETER THOMAS ROTH,Max Mineral Naked Broad Spectrum SPF 45,$38.00,7.5K loves,90 reviews
52,BAREMINERALS,COMPLEXION RESCUE Hydrating Foundation Stick Broad Spectrum SPF 25,$32.00,20.7K loves,1K reviews
53,ANASTASIA BEVERLY HILLS,Dewy Set Setting Spray,$26.00,22.4K loves,154 reviews
54,T3,"Twirl Trio Interchangeable Clip Curling Iron Set: 1”, 1.25”, 1.5”","$325.00
($355.00 value)",7.1K loves,30 reviews
55,FARMACY,Freshen Up All-Natural Deodorant,$15.00,7.4K loves,331 reviews
56,THE INKEY LIST,Rosehip Nourishing Night Oil,$10.99,3.1K loves,14 reviews
57,MARC JACOBS BEAUTY,Accomplice Concealer & Touch-Up Stick,$32.00,16.1K loves,2K reviews
58,TARTE,SEA Seaglass Liquid Eyeshadow,$22.00,14.7K loves,78 reviews
59,CHRISTOPHE ROBIN,Purifying Scalp Scrub with Sea Salt,$53.00,42.2K loves,963 reviews
60,SEPHORA COLLECTION,PRO Airbrush Detail Brush #57,$24.00,49.7K loves,911 reviews
61,FOREO,LUNA™ 3 for Sensitive Skin,$199.00,4.6K loves,16 reviews
62,FIRST AID BEAUTY,Hello FAB Ginger & Turmeric Vitamin C Jelly Mask,$32.00,19K loves,242 reviews
63,MARC JACOBS BEAUTY,Velvet Primer - Epic Lash Primer,$27.00,16.7K loves,2K reviews
64,FENTY BEAUTY BY RIHANNA,Pro Filt'r Soft Matte Longwear Foundation,$35.00,603.5K loves,14K reviews
65,BRIOGEO,Blossom & Bloom Ginseng + Biotin Volumizing Root Powder,$24.00,4.8K loves,74 reviews
66,GUCCI,Bloom Eau de Parfum For Her,$100.00,34K loves,352 reviews
67,SKINFIX,Resurface+ AHA Renewing Cream,$45.00,10.6K loves,130 reviews
68,CLINIQUE,Clinique iD™ Custom-Blend Hydrator Collection,$39.00,41.2K loves,149 reviews
69,ESTÉE LAUDER,Double Wear Stay-in-Place Foundation,$43.00,398.1K loves,5K reviews
70,ANASTASIA BEVERLY HILLS,Brow Wiz,$23.00,643K loves,14K reviews
71,RAHUA,Hydration Shampoo,$34.00,3.1K loves,19 reviews
72,SEPHORA COLLECTION,PRO Lip Brush #85,$16.00,14.5K loves,56 reviews
73,SKINFIX,Barrier+ Triple Lipid-Peptide Cream,$50.00,4.1K loves,84 reviews
74,DR. BRANDT SKINCARE,pores no more® Vacuum Cleaner® Pore Purifying Mask,$42.00,8.7K loves,172 reviews
75,ARMANI BEAUTY,Lip Maestro Liquid Lipstick,$38.00,171.9K loves,1K reviews
76,LANCÔME,Monsieur Big Mascara,$25.00,42.6K loves,2K reviews
