,Brand,Product,Price,Rating,Ingridients,Reviews_Count,Allure_Winner,Clean_Product
0,LANEIGE,Lip Sleeping Mask,20.0,307.2,"-Moisture Wrap™ Technology: Features a mineral network of moisture-rich beta-glucan to form an eight-hour time-release moisturizing layer over skin; locks in active ingredients and mineral water.
-Berry Mix Complex™: Rich in vitamin C and antioxidants from a nutritious blend of raspberries, strawberries, cranberries, goji berries, and blueberries to soothe and soften, revealing smooth, supple lips.

Diisostearyl Malate, Hydrogenated Polyisobutene, Phytosteryl / Isostearyl / Cetyl / Stearyl / Behenyl Dimer Dilinoleate, Hydrogenated Poly(C6-14 Olefin), Polybutene, Microcrystalline Wax / Cera Microcristallina / Cire Microcristalline, Butyrospermum Parkii (Shea) Butter, Synthetic Wax, Euphorbia Cerifera (Candelilla) Wax / Candelilla Cera / Cire de Candelilla, Sucrose Tetrastearate Triacetate, Butylene / Ethylene / Styrene Copolymer, Ethylene / Propylene / Styrene Copolymer, Mica (CI 77019), Astrocaryum Murumuru Seed Butter, Titanium Dioxide (CI 77891), Dimethicone, Fragrance / Parfum, Polyglyceryl-2 Diisostearate, Dehydroacetic Acid, Methicone, Copernicia Cerifera (Carnauba) Wax / Cera Carnauba / Cire de Carnauba, Polyglyceryl-2 Triisostearate, Yellow 6 Lake (CI 15985), Red 6 (CI 15850), Polyhydroxystearic Acid, Water, Potassium Alginate, Propanediol, Glycerin, Alcohol, Lycium Chinense Fruit Extract, Vaccinium Macrocarpon (Cranberry) Fruit Extract, Fragaria Chiloensis (Strawberry) Fruit Extract, Rubus Idaeus (Raspberry) Fruit Extract, Sapindus Mukorossi Fruit Extract, Vaccinium Angustifolium (Blueberry) Fruit Extract, Rubus Chamaemorus Seed Extract, Coffea Arabica (Coffee) Seed Extract, Chenopodium Quinoa Seed Extract, Magnesium Sulfate, Calcium Chloride, Sodium Hyaluronate, Beta-Glucan, Manganese Sulfate, Zinc Sulfate, Ascorbyl Glucoside.",8000,1,0
1,ARMANI BEAUTY,Lip Maestro Liquid Lipstick,38.0,171.3,No ingridients listed,1000,1,0
2,NARS,Radiant Creamy Concealer,30.0,752.9,"-Vitis Vinifera (Grape) Seed Extract and Tocopheral: Provide multibenefits to improve the overall condition of the skin.
-Magnolia Officinalis Bark Extract: Increases skin hydration, firmness, and elasticity in eye area; provides antioxidant benefits; reduces water loss and skin redness/irritation.
-Titanium Dioxide, Mica, and Tin Oxide: Optically correct, not mask, skin imperfections to keep skin looking flawless; optically enhances the radiance and freshness of the skin by balancing uneven skin tones.
-Silica: Blurs and optically reduces the appearance of fine lines and wrinkles by diverting light.",11000,0,0
3,ANASTASIA BEVERLY HILLS,Brow Wiz,23.0,642.5,"-Vitamin E: Helps skin fight damage caused by the environment.
-Plant Oils: Hydrate, soothe, and soften the skin.

Hydrogenated Soybean Oil, Hydrogenated Coco-Glycerides, Hydrogenated Vegetable Oil/Hydrogenated Huile Végétale, Zinc Stearate, Stearic Acid, Copernicia Cerifera (Carnauba) Wax, Polyglyceryl-2 Triisostearate, Tocopheryl Acetate, Caprylyl Glycol, Phenoxyethanol, Hexylene Glycol. May Contain: Mica, Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Ferric Ferrocyanide (Ci 77510).",14000,1,0
4,FENTY BEAUTY BY RIHANNA,"Full Frontal Volume, Lift & Curl Mascara",24.0,17.1,"Aqua/Water/Eau, Synthetic Beeswax, Paraffin, Palmitic Acid, Styrene/Acrylates/Ammonium Methacrylate Copolymer, Stearic Acid, Butylene Glycol, Aminomethyl Propanediol, Cera Carnauba/Copernicia Cerifera (Carnauba) Wax/Cire De Carnauba, Glyceryl Stearate, Vp/Eicosene Copolymer, Acacia Seyal Gum, Polybutene, Phenoxyethanol, Nylon-66, Hydroxyethylcellulose, Triethoxycaprylylsilane, Sodium Laureth-12 Sulfate, Caprylyl Glycol, C11-15 Pareth-7, Potassium Sorbate, Tetrasodium Edta, Disodium Phosphate, Polysorbate 60, Silica, Bht, Sodium Phosphate, Iron Oxides (Ci 77499), Titanium Dioxide (Ci 77891).",1000,0,0
5,LAURA MERCIER,Translucent Loose Setting Powder,39.0,641.9,"Talc, Magnesium Myristate, Nylon-12, Caprylic/Capric Triglyceride, EthylhexylPalmitate, Zea Mays (Corn) Starch, Sodium Dehydroacetate, Methylparaben, Lauroyl Lysine, Propylparaben, Polymethyl Methacrylate, Butylparaben, Ascorbyl Palmitate, Glycine Soja (Soybean) Oil, Tocopherol, Methicone. May contain: Ultramarines (Cl 77007), Iron Oxides (Cl 77491, Cl 77492, Cl 77499).",8000,0,0
6,ESTÉE LAUDER,Double Wear Stay-in-Place Foundation,43.0,397.4,No ingridients listed,5000,1,0
7,ANASTASIA BEVERLY HILLS,Amrezy Eyeshadow Palette,49.0,8.4,"Waisted, New Yawker, Og:
Mica, Dimethicone, Boron Nitride, Nylon-12, Zea Mays (Corn) Starch, Polymethylsilsesquioxane, Zinc Myristate, Zinc Stearate, Glycerin, Silica, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Tocopherol, Hydrogenated Lecithin, Lauroyl Lysine, Caprylyl Glycol, Polysilicone-11, Isopentyldiol, Cyclopentasiloxane, Phenoxyethanol, May Contain/Peut Contenir (+/-): Carmine (Ci 75470), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Titanium Dioxide (Ci 77891), Yellow 5 Lake (Ci 19140).

Barb:
Aluminum Calcium Sodium Silicate, Mica, Calcium Sodium Borosilicate, Glycerin, Boron Nitride, Zea Mays (Corn) Starch, Dimethicone, Nylon-12, Polymethylsilsesquioxane, Silica, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Zinc Myristate, Zinc Stearate, Tocopherol, Hydrogenated Lecithin, Lauroyl Lysine, Caprylyl Glycol, Polysilicone-11, Isopentyldiol, Tin Oxide, Cyclopentasiloxane, Phenoxyethanol, Carmine (Ci 75470), Titanium Dioxide (Ci 77891).

Dragon:
Mica, Aluminum Calcium Sodium Silicate, Calcium Sodium Borosilicate, Octyldodecyl Stearoyl Stearate, Polyethylene Terephthalate, Acrylates Copolymer, Silica, Theobroma Cacao (Cocoa) Seed Butter, Tocopherol, Beeswax/Cera Alba/Cire D'abeille, Hydrogenated Lecithin, Zea Mays (Corn) Starch, Lauroyl Lysine, Sodium Polyacrylate, Boron Nitride, Caprylyl Glycol, Nylon-12, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Zinc Myristate, Zinc Stearate, Polymethylsilsesquioxane, Polysilicone-11, Isopentyldiol, Ethylene Va/Copolymer, Tin Oxide, Cyclopentasiloxane, Phenoxyethanol, Carmine (Ci 75470), Iron Oxides (Ci 77491), Titanium Dioxide (Ci 77891).

Leo:
Aluminum Calcium Sodium Silicate, Mica, Calcium Aluminum Borosilicate, Calcium Sodium Borosilicate, Silica, Octyldodecyl Stearoyl Stearate, Boron Nitride, Zea Mays (Corn) Starch, Nylon-12, Polymethylsilsesquioxane, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Zinc Myristate, Zinc Stearate, Theobroma Cacao (Cocoa) Seed Butter, Tocopherol, Beeswax/Cera Alba/Cire D'abeille, Hydrogenated Lecithin, Lauroyl Lysine, Sodium Polyacrylate, Caprylyl Glycol, Palmitic Acid, Isopentyldiol, Hydrogenated Polyisobutene, Tin Oxide, Benzoic Acid, Phenoxyethanol, Blue 1 Lake (Ci 42090), Ferric Ferrocyanide (Ci 77510), Titanium Dioxide (Ci 77891).

Gorgina:
Mica, Aluminum Calcium Sodium Silicate, Synthetic Fluorphlogopite, Octyldodecyl Stearoyl Stearate, Boron Nitride, Zea Mays (Corn) Starch, Nylon-12, Polymethylsilsesquioxane, Silica, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Zinc Myristate, Zinc Stearate, Theobroma Cacao (Cocoa) Seed Butter, Tocopherol, Beeswax/Cera Alba/Cire D'abeille, Hydrogenated Lecithin, Lauroyl Lysine, Sodium Polyacrylate, Caprylyl Glycol, Polysilicone-11, Isopentyldiol, Tin Oxide, Cyclopentasiloxane, Phenoxyethanol, Carmine (Ci 75470), Iron Oxides (Ci 77491), Titanium Dioxide (Ci 77891).

Anastasia:
Mica, Synthetic Fluorphlogopite, Calcium Aluminum Borosilicate, Octyldodecyl Stearoyl Stearate, Boron Nitride, Zea Mays (Corn) Starch, Nylon-12, Polymethylsilsesquioxane, Silica, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Zinc Myristate, Zinc Stearate, Theobroma Cacao (Cocoa) Seed Butter, Tocopherol, Beeswax/Cera Alba/Cire D'abeille, Hydrogenated Lecithin, Lauroyl Lysine, Sodium Polyacrylate, Caprylyl Glycol, Isopentyldiol, Tin Oxide, Phenoxyethanol, Carmine (Ci 75470), Iron Oxides (Ci 77491), Titanium Dioxide (Ci 77891).

1988, BK:
Mica, Dimethicone, Boron Nitride, Nylon-12, Zinc Stearate, Silica, Glycerin, Zea Mays (Corn) Starch, Polymethylsilsesquioxane, Zinc Myristate, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Tocopherol, Hydrogenated Lecithin, Lauroyl Lysine, Caprylyl Glycol, Polysilicone-11, Isopentyldiol, Cyclopentasiloxane, Phenoxyethanol, May Contain/Peut Contenir (+/-): Black 2 (Ci 77266), Carmine (Ci 75470), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Titanium Dioxide (Ci 77891).

Litty, Gemini:
Polyethylene Terephthalate, Octyldodecyl Stearoyl Stearate, Polyurethane-33, Glycerin, Zea Mays (Corn) Starch, Boron Nitride, Nylon-12, Polymethylsilsesquioxane, Silica, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Zinc Myristate, Zinc Stearate, Mineral Oil/Paraffinum Liquidum/Huile Minerale, Theobroma Cacao (Cocoa) Seed Butter, Tocopherol, Beeswax/Cera Alba/Cire D'abeille, Hydrogenated Lecithin, Lauroyl Lysine, Sodium Polyacrylate, Caprylyl Glycol, Polysilicone-11, Isopentyldiol, Cyclopentasiloxane, Phenoxyethanol, May Contain/Peut Contenir (+/-): Mica, Aluminum Powder (Ci 77K), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Red 7 (Ci 15850), Red 34 (Ci 15880), Titanium Dioxide (Ci 77891), Yellow 5 (Ci 19140)

Cupcake:
Mica, Synthetic Fluorphlogopite, Octyldodecyl Stearoyl Stearate, Silica, Glycerin, Zea Mays (Corn) Starch, Boron Nitride, Nylon-12, Polymethylsilsesquioxane, Zinc Myristate, Zinc Stearate, Mineral Oil/Paraffinum Liquidum/Huile Minerale, Theobroma Cacao (Cocoa) Seed Butter, Tocopherol, Beeswax/Cera Alba/Cire D'abeille, Hydrogenated Lecithin, Lauroyl Lysine, Sodium Polyacrylate, Caprylyl Glycol, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Polysilicone-11, Isopentyldiol, Tin Oxide, Cyclopentasiloxane, Phenoxyethanol, Aluminum Powder (Ci 77K), Red 34 (Ci 15880), Titanium Dioxide (Ci 77891).

Rezy:
Calcium Aluminum Borosilicate, Synthetic Fluorphlogopite, Mica, Octyldodecyl Stearoyl Stearate, Glycerin, Boron Nitride, Zea Mays (Corn) Starch, Nylon-12, Polymethylsilsesquioxane, Silcia, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Zinc Myristate, Zinc Stearate, Theobroma Cacao (Cocoa) Seed Butter, Tocopherol, Beeswax/Cera Alba/Cire D'abeille, Hydrogenated Lecithin, Lauroyl Lysine, Sodium Polyacrylate, Caprylyl Glycol, Polysilicone-11, Isopentyldiol, Tin Oxide, Cyclopentasiloxane, Phenoxyethanol, Carmine (Ci 75470), Red 7 Lake (Ci 15850), Red 27 Lake (Ci 45410), Titanium Dioxide (Ci 77891).

Semsa:
Mica, Dimethicone, Boron Nitride, Nylon-12, Silica, Glycerin, Zea Mays (Corn) Starch, Polymethylsilsesquioxane, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Zinc Myristate, Zinc Stearate, Tocopherol, Hydrogenated Lecithin, Lauroyl Lysine, Caprylyl Glycol, Polysilicone-11, Isopentyldiol, Cyclopentasiloxane, Phenoxyethanol, Carmine (Ci 75470), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Red 7 Lake (Ci 15850), Red 21 Lake (Ci 45380), Red 27 Lake (Ci 45410), Red 33 Lake (17200), Titanium Dioxide (Ci 77891).

Yugo:
Mica, Dimethicone, Boron Nitride, Nylon-12, Zea Mays (Corn) Starch, Polymethylsilsesquioxane, Zinc Myristate, Zinc Stearate, Glycerin, Silica, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Tocopherol, Hydrogenated Lecithin, Lauroyl Lysine, Caprylyl Glycol, Polysilicone-11, Isopentyldiol, Cyclopentasiloxane, Phenoxyethanol, Carmine (Ci 75470), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Red 7 Lake (Ci 15850), Red 33 Lake (17200), Titanium Dioxide (Ci 77891), Yellow 5 Lake (Ci 19140).",40,0,0
8,ARMANI BEAUTY,Luminous Silk Foundation,64.0,326.3,-Micro-Fil Technology: Provides a translucent radiance and flawless finish.,3000,0,0
9,FENTY BEAUTY BY RIHANNA,Pro Filt'r Soft Matte Longwear Foundation,35.0,602.9,"Water, Dimethicone, Talc, Peg-10 Dimethicone, Trimethylsiloxysilicate, Polypropylene, Isododecane, Cetyl Peg/Ppg-10/1 Dimethicone, Nylon-12, Hdi/Trimethylol Hexyllactone Crosspolymer, Phenoxyethanol, Sodium Chloride, Hydrogen Dimethicone, Glycerin, Magnesium Sulfate, Sodium Dehydroacetate, Disteardimonium Hectorite, Aluminum Hydroxide, Methicone, Benzoic Acid, Dehydroacetic Acid, Propylene Carbonate, Ethylhexylglycerin, Parfum/Fragrance, Silica, Biosaccharide Gum-4, Ananas Sativus (Pineapple) Fruit Extract, Carica Papaya (Papaya) Fruit Extract, Paullinia Cupana Seed Extract, Potassium Sorbate, Sorbic Acid. May Contain (+/-): Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI77499).",14000,1,0
